jgi_spid	GOLD_BIOSAMPLE_ID	LATITUDE	LONGITUDE	ECOSYSTEM	ECOSYSTEM_CATEGORY	ECOSYSTEM_TYPE	HABITAT	GOLD_STUDY_ID	STUDY_NAME	ANALYSIS_PROJECT_TYPE	ANALYSIS_PROJECT_NAME_FULL	ANTHROPOGENIC_PERTURBATION_1	ANTHROPOGENIC_PERTURBATION_2	GEOTHERMAL_ENVIRONMENT	HYDROCARBON_ENVIRONMENT	EUKARYOTIC	VIRAL	DESCRIPTION	EMPO_1	EMPO_2	EMPO_3
1001480	Gb0054723	43.292222	-73.604444	Environmental	Aquatic	Freshwater	Groundwater	Gs0069861	Groundwater microbial communities from coal-tar-waste-contaminated well in S. Glens Falls; New York; USA	Metagenome Analysis	Groundwater microbial communities from S. Glens Falls; New York; USA - Naphthalene biodegradation metagenome 12C8dose (SPAdes)	perturbed	polluted	FALSE	TRUE	FALSE	FALSE	Coal-tar-waste contaminated groundwater in S. Glens Falls; NY	Free-living	Non-saline	Subsurface (non-saline)
1001483	Gb0054090	43.292222	-73.604444	Environmental	Aquatic	Freshwater	Groundwater	Gs0069861	Groundwater microbial communities from coal-tar-waste-contaminated well in S. Glens Falls; New York; USA	Metagenome Analysis	Groundwater microbial communities from S. Glens Falls; New York; USA - Naphthalene biodegradation metagenome 13C3doseA (SPAdes)	perturbed	polluted	FALSE	TRUE	FALSE	FALSE	Coal-tar-waste contaminated groundwater in S. Glens Falls; NY	Free-living	Non-saline	Subsurface (non-saline)
1001486	Gb0054433	43.292222	-73.604444	Environmental	Aquatic	Freshwater	Groundwater	Gs0069861	Groundwater microbial communities from coal-tar-waste-contaminated well in S. Glens Falls; New York; USA	Metagenome Analysis	Groundwater microbial communities from S. Glens Falls; New York; USA - Naphthalene biodegradation metagenome 13C3doseB (SPAdes)	perturbed	polluted	FALSE	TRUE	FALSE	FALSE	Coal-tar-waste contaminated groundwater in S. Glens Falls; NY	Free-living	Non-saline	Subsurface (non-saline)
1001489	Gb0053992	43.292222	-73.604444	Environmental	Aquatic	Freshwater	Groundwater	Gs0069861	Groundwater microbial communities from coal-tar-waste-contaminated well in S. Glens Falls; New York; USA	Metagenome Analysis	Groundwater microbial communities from S. Glens Falls; New York; USA - Naphthalene biodegradation metagenome 13C3doseC (SPAdes)	perturbed	polluted	FALSE	TRUE	FALSE	FALSE	Coal-tar-waste contaminated groundwater in S. Glens Falls; NY	Free-living	Non-saline	Subsurface (non-saline)
1001492	Gb0054754	43.292222	-73.604444	Environmental	Aquatic	Freshwater	Groundwater	Gs0069861	Groundwater microbial communities from coal-tar-waste-contaminated well in S. Glens Falls; New York; USA	Metagenome Analysis	Groundwater microbial communities from S. Glens Falls; New York; USA - Naphthalene biodegradation metagenome 13C5doseA (SPAdes)	perturbed	polluted	FALSE	TRUE	FALSE	FALSE	Coal-tar-waste contaminated groundwater in S. Glens Falls; NY	Free-living	Non-saline	Subsurface (non-saline)
1001507	Gb0054583	43.292222	-73.604444	Environmental	Aquatic	Freshwater	Groundwater	Gs0069861	Groundwater microbial communities from coal-tar-waste-contaminated well in S. Glens Falls; New York; USA	Metagenome Analysis	Groundwater microbial communities from S. Glens Falls; New York; USA - Naphthalene biodegradation metagenome 13C8doseC (SPAdes)	perturbed	polluted	FALSE	TRUE	FALSE	FALSE	Coal-tar-waste contaminated groundwater in S. Glens Falls; NY	Free-living	Non-saline	Subsurface (non-saline)
1004076	Gb0054696	50.13	11.88	Environmental	Terrestrial	Soil	Peatlands soil	Gs0053071	Peatlands soil microbial communities from Germany and Austria; that are sulfate reducing	Metagenome Analysis	Peat soil microbial communities from Weissenstadt; Germany - SII-2010 (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	na	Free-living	Non-saline	Soil (non-saline)
1004079	Gb0054674	50.13	11.88	Environmental	Terrestrial	Soil	Peatlands soil	Gs0053071	Peatlands soil microbial communities from Germany and Austria; that are sulfate reducing	Metagenome Analysis	Peat soil microbial communities from Weissenstadt; Germany - SII-SIP-2007 (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	na	Free-living	Non-saline	Soil (non-saline)
1004145	Gb0054983	43.098333	-89.405278	Environmental	Aquatic	Freshwater	Freshwater	Gs0063444	Freshwater microbial communities from Lake Mendota and Trout Bog Lake; Wisconsin; USA	Metagenome Analysis	Freshwater microbial communities from Lake Mendota; WI - 8OCT2008 deep hole epilimnion (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	na	Free-living	Non-saline	Water (non-saline)
1004151	Gb0055025	43.098333	-89.405278	Environmental	Aquatic	Freshwater	Freshwater	Gs0063444	Freshwater microbial communities from Lake Mendota and Trout Bog Lake; Wisconsin; USA	Metagenome Analysis	Freshwater microbial communities from Lake Mendota; WI - 9JUL2008 deep hole epilimnion (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	na	Free-living	Non-saline	Water (non-saline)
1004181	Gb0054340	43.099444	-89.404444	Environmental	Aquatic	Freshwater	Freshwater	Gs0063444	Freshwater microbial communities from Lake Mendota and Trout Bog Lake; Wisconsin; USA	Metagenome Analysis	Freshwater microbial communities from Lake Mendota; WI - 12SEP2008 deep hole epilimnion (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	na	Free-living	Non-saline	Water (non-saline)
1004184	Gb0055024	43.098333	-89.405278	Environmental	Aquatic	Freshwater	Freshwater	Gs0063444	Freshwater microbial communities from Lake Mendota and Trout Bog Lake; Wisconsin; USA	Metagenome Analysis	Freshwater microbial communities from Lake Mendota; WI - 13AUG2008 deep hole epilimnion (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	na	Free-living	Non-saline	Water (non-saline)
1004199	Gb0054339	43.099444	-89.404444	Environmental	Aquatic	Freshwater	Freshwater	Gs0063444	Freshwater microbial communities from Lake Mendota and Trout Bog Lake; Wisconsin; USA	Metagenome Analysis	Freshwater microbial communities from Lake Mendota; WI - 13JUN2010 deep hole epilimnion (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	na	Free-living	Non-saline	Water (non-saline)
1004202	Gb0055101	43.098333	-89.405278	Environmental	Aquatic	Freshwater	Freshwater	Gs0063444	Freshwater microbial communities from Lake Mendota and Trout Bog Lake; Wisconsin; USA	Metagenome Analysis	Freshwater microbial communities from Lake Mendota; WI - 13SEPL2008 deep hole epilimnion (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	na	Free-living	Non-saline	Water (non-saline)
1004220	Gb0055143	43.098333	-89.405278	Environmental	Aquatic	Freshwater	Freshwater	Gs0063444	Freshwater microbial communities from Lake Mendota and Trout Bog Lake; Wisconsin; USA	Metagenome Analysis	Freshwater microbial communities from Lake Mendota; WI - 16JUL2010 deep hole epilimnion (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	na	Free-living	Non-saline	Water (non-saline)
1004244	Gb0055073	43.098333	-89.405278	Environmental	Aquatic	Freshwater	Freshwater	Gs0063444	Freshwater microbial communities from Lake Mendota and Trout Bog Lake; Wisconsin; USA	Metagenome Analysis	Freshwater microbial communities from Lake Mendota; WI - 17OCT2008 deep hole epilimnion (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	na	Free-living	Non-saline	Water (non-saline)
1004253	Gb0055064	43.098333	-89.405278	Environmental	Aquatic	Freshwater	Freshwater	Gs0063444	Freshwater microbial communities from Lake Mendota and Trout Bog Lake; Wisconsin; USA	Metagenome Analysis	Freshwater microbial communities from Lake Mendota; WI - 18JUL2008 deep hole epilimnion (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	na	Free-living	Non-saline	Water (non-saline)
1004265	Gb0055063	43.098333	-89.405278	Environmental	Aquatic	Freshwater	Freshwater	Gs0063444	Freshwater microbial communities from Lake Mendota and Trout Bog Lake; Wisconsin; USA	Metagenome Analysis	Freshwater microbial communities from Lake Mendota; WI - 19JUL2008 deep hole epilimnion (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	na	Free-living	Non-saline	Water (non-saline)
1004271	Gb0055119	43.099444	-89.404444	Environmental	Aquatic	Freshwater	Freshwater	Gs0063444	Freshwater microbial communities from Lake Mendota and Trout Bog Lake; Wisconsin; USA	Metagenome Analysis	Freshwater microbial communities from Lake Mendota; WI - 20AUG2008 deep hole epilimnion (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	na	Free-living	Non-saline	Water (non-saline)
1004280	Gb0055141	43.098333	-89.405278	Environmental	Aquatic	Freshwater	Freshwater	Gs0063444	Freshwater microbial communities from Lake Mendota and Trout Bog Lake; Wisconsin; USA	Metagenome Analysis	Freshwater microbial communities from Lake Mendota; WI - 20MAY2010 deep hole epilimnion (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	na	Free-living	Non-saline	Water (non-saline)
1004283	Gb0055031	43.098333	-89.405278	Environmental	Aquatic	Freshwater	Freshwater	Gs0063444	Freshwater microbial communities from Lake Mendota and Trout Bog Lake; Wisconsin; USA	Metagenome Analysis	Freshwater microbial communities from Lake Mendota; WI - 21JUL2008 deep hole epilimnion (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	na	Free-living	Non-saline	Water (non-saline)
1004298	Gb0055062	43.098333	-89.405278	Environmental	Aquatic	Freshwater	Freshwater	Gs0063444	Freshwater microbial communities from Lake Mendota and Trout Bog Lake; Wisconsin; USA	Metagenome Analysis	Freshwater microbial communities from Lake Mendota; WI - 23JUL2008 deep hole epilimnion (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	na	Free-living	Non-saline	Water (non-saline)
1004313	Gb0054390	43.099444	-89.404444	Environmental	Aquatic	Freshwater	Freshwater	Gs0063444	Freshwater microbial communities from Lake Mendota and Trout Bog Lake; Wisconsin; USA	Metagenome Analysis	Freshwater microbial communities from Lake Mendota; WI - 25SEP2008 deep hole epilimnion (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	na	Free-living	Non-saline	Water (non-saline)
1004322	Gb0054332	43.099444	-89.404444	Environmental	Aquatic	Freshwater	Freshwater	Gs0063444	Freshwater microbial communities from Lake Mendota and Trout Bog Lake; Wisconsin; USA	Metagenome Analysis	Freshwater microbial communities from Lake Mendota; WI - 26JUN2008 deep hole epilimnion (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	na	Free-living	Non-saline	Water (non-saline)
1004325	Gb0055148	43.098333	-89.405278	Environmental	Aquatic	Freshwater	Freshwater	Gs0063444	Freshwater microbial communities from Lake Mendota and Trout Bog Lake; Wisconsin; USA	Metagenome Analysis	Freshwater microbial communities from Lake Mendota; WI - 27AUG2008 deep hole epilimnion (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	na	Free-living	Non-saline	Water (non-saline)
1004340	Gb0054389	43.099444	-89.404444	Environmental	Aquatic	Freshwater	Freshwater	Gs0063444	Freshwater microbial communities from Lake Mendota and Trout Bog Lake; Wisconsin; USA	Metagenome Analysis	Freshwater microbial communities from Lake Mendota; WI - 03JUL2008 deep hole epilimnion (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	na	Free-living	Non-saline	Water (non-saline)
1004352	Gb0055107	43.098333	-89.405278	Environmental	Aquatic	Freshwater	Freshwater	Gs0063444	Freshwater microbial communities from Lake Mendota and Trout Bog Lake; Wisconsin; USA	Metagenome Analysis	Freshwater microbial communities from Lake Mendota; WI - 31AUG2010 deep hole epilimnion (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	na	Free-living	Non-saline	Water (non-saline)
1004475	Gb0054569	32.08	-17.26	Environmental	Aquatic	Marine	Deep ocean	Gs0053074	Deep ocean microbial communities from the Global Malaspina Expedition	Metagenome Analysis	Marine microbial communities from the Deep Atlantic Ocean - MP2969 (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	Deep seawater sample	Free-living	Saline	Water (saline)
1004478	Gb0053863	32.08	-17.26	Environmental	Aquatic	Marine	Deep ocean	Gs0053074	Deep ocean microbial communities from the Global Malaspina Expedition	Metagenome Analysis	Marine microbial communities from the Deep Atlantic Ocean - MP2968 (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	Deep seawater sample	Free-living	Saline	Water (saline)
1004481	Gb0054436	29.97	-23.69	Environmental	Aquatic	Marine	Deep ocean	Gs0053074	Deep ocean microbial communities from the Global Malaspina Expedition	Metagenome Analysis	Marine microbial communities from the Deep Atlantic Ocean - MP2914 (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	Deep seawater sample	Free-living	Saline	Water (saline)
1004484	Gb0054130	29.97	-23.69	Environmental	Aquatic	Marine	Deep ocean	Gs0053074	Deep ocean microbial communities from the Global Malaspina Expedition	Metagenome Analysis	Marine microbial communities from the Deep Atlantic Ocean - MP2913 (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	Deep seawater sample	Free-living	Saline	Water (saline)
1004487	Gb0054720	20	-52.63	Environmental	Aquatic	Marine	Deep ocean	Gs0053074	Deep ocean microbial communities from the Global Malaspina Expedition	Metagenome Analysis	Marine microbial communities from the Deep Atlantic Ocean - MP2634 (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	Deep seawater sample	Free-living	Saline	Water (saline)
1004490	Gb0053993	20	-52.63	Environmental	Aquatic	Marine	Deep ocean	Gs0053074	Deep ocean microbial communities from the Global Malaspina Expedition	Metagenome Analysis	Marine microbial communities from the Deep Atlantic Ocean - MP2633 (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	Deep seawater sample	Free-living	Saline	Water (saline)
1004496	Gb0054657	17.43	-59.83	Environmental	Aquatic	Marine	Deep ocean	Gs0053074	Deep ocean microbial communities from the Global Malaspina Expedition	Metagenome Analysis	Marine microbial communities from East of Antigua and Barbuda; Atlantic Ocean - MP2497 (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	Deep seawater sample	Free-living	Saline	Water (saline)
1004499	Gb0054688	10.09	-99.25	Environmental	Aquatic	Marine	Deep ocean	Gs0053074	Deep ocean microbial communities from the Global Malaspina Expedition	Metagenome Analysis	Marine microbial communities from the Deep Pacific Ocean - MP2253 (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	Deep seawater sample	Free-living	Saline	Water (saline)
1004502	Gb0054440	10.09	-99.25	Environmental	Aquatic	Marine	Deep ocean	Gs0053074	Deep ocean microbial communities from the Global Malaspina Expedition	Metagenome Analysis	Marine microbial communities from the Deep Pacific Ocean - MP2252 (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	Deep seawater sample	Free-living	Saline	Water (saline)
1004505	Gb0053876	12	-108.06	Environmental	Aquatic	Marine	Deep ocean	Gs0053074	Deep ocean microbial communities from the Global Malaspina Expedition	Metagenome Analysis	Marine microbial communities from the Deep Pacific Ocean - MP2159 (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	Deep seawater sample	Free-living	Saline	Water (saline)
1004508	Gb0054353	12	-108.06	Environmental	Aquatic	Marine	Deep ocean	Gs0053074	Deep ocean microbial communities from the Global Malaspina Expedition	Metagenome Analysis	Marine microbial communities from the Deep Pacific Ocean - MP2158 (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	Deep seawater sample	Free-living	Saline	Water (saline)
1004511	Gb0053955	14.53	-118.77	Environmental	Aquatic	Marine	Deep ocean	Gs0053074	Deep ocean microbial communities from the Global Malaspina Expedition	Metagenome Analysis	Marine microbial communities from the Deep Pacific Ocean - MP2098 (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	Deep seawater sample	Free-living	Saline	Water (saline)
1004514	Gb0054393	14.53	-118.77	Environmental	Aquatic	Marine	Deep ocean	Gs0053074	Deep ocean microbial communities from the Global Malaspina Expedition	Metagenome Analysis	Marine microbial communities from the Deep Pacific Ocean - MP2097 (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	Deep seawater sample	Free-living	Saline	Water (saline)
1004517	Gb0054582	14.53	-118.77	Environmental	Aquatic	Marine	Deep ocean	Gs0053074	Deep ocean microbial communities from the Global Malaspina Expedition	Metagenome Analysis	Marine microbial communities from the Deep Pacific Ocean - MP2053 (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	Deep seawater sample	Free-living	Saline	Water (saline)
1004520	Gb0054313	15.91	-124.49	Environmental	Aquatic	Marine	Deep ocean	Gs0053074	Deep ocean microbial communities from the Global Malaspina Expedition	Metagenome Analysis	Marine microbial communities from the Deep Pacific Ocean - MP2052 (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	Deep seawater sample	Free-living	Saline	Water (saline)
1004523	Gb0054769	18.04	-133.26	Environmental	Aquatic	Marine	Deep ocean	Gs0053074	Deep ocean microbial communities from the Global Malaspina Expedition	Metagenome Analysis	Marine microbial communities from the Deep Pacific Ocean - MP2016 (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	Deep seawater sample	Free-living	Saline	Water (saline)
1004532	Gb0054394	21.06	-150.35	Environmental	Aquatic	Marine	Deep ocean	Gs0053074	Deep ocean microbial communities from the Global Malaspina Expedition	Metagenome Analysis	Marine microbial communities from the Deep Pacific Ocean - MP1896 (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	Deep seawater sample	Free-living	Saline	Water (saline)
1004535	Gb0054431	9.22	-163.53	Environmental	Aquatic	Marine	Deep ocean	Gs0053074	Deep ocean microbial communities from the Global Malaspina Expedition	Metagenome Analysis	Marine microbial communities from the Deep Pacific Ocean - MP1788 (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	Deep seawater sample	Free-living	Saline	Water (saline)
1004538	Gb0054477	9.22	-163.53	Environmental	Aquatic	Marine	Deep ocean	Gs0053074	Deep ocean microbial communities from the Global Malaspina Expedition	Metagenome Analysis	Marine microbial communities from the Deep Pacific Ocean - MP1787 (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	Deep seawater sample	Free-living	Saline	Water (saline)
1004541	Gb0054788	-5.74	-170.77	Environmental	Aquatic	Marine	Deep ocean	Gs0053074	Deep ocean microbial communities from the Global Malaspina Expedition	Metagenome Analysis	Marine microbial communities from the Deep Pacific Ocean - MP1649 (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	Deep seawater sample	Free-living	Saline	Water (saline)
1004544	Gb0053866	-5.74	-170.77	Environmental	Aquatic	Marine	Deep ocean	Gs0053074	Deep ocean microbial communities from the Global Malaspina Expedition	Metagenome Analysis	Marine microbial communities from the Deep Pacific Ocean - MP1648 (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	Deep seawater sample	Free-living	Saline	Water (saline)
1004553	Gb0054538	-25.49	-179.52	Environmental	Aquatic	Marine	Deep ocean	Gs0053074	Deep ocean microbial communities from the Global Malaspina Expedition	Metagenome Analysis	Marine microbial communities from the Deep Pacific Ocean - MP1494 (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	Deep seawater sample	Free-living	Saline	Water (saline)
